Location,Poverty Level,TimeFrame,DataFormat,Data
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Number,1534
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Number,653
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Percent,0.0308
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Percent,0.0723
ACADEMY 20,Eligible for Free Lunch,2006,Percent,0.0416
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Percent,0.0223
ACADEMY 20,Eligible for Free Lunch,2005,Percent,0.0364
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Number,458
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Percent,0.0587
ACADEMY 20,Eligible for Free Lunch,2005,Number,746
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Number,1204
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Number,501
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Number,1182
ACADEMY 20,Eligible for Free Lunch,2004,Number,681
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Percent,0.0253
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Percent,0.0596
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Percent,0.02
ACADEMY 20,Eligible for Free Lunch,2004,Percent,0.0344
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Percent,0.06
ACADEMY 20,Eligible for Free Lunch,2003,Percent,0.03
ACADEMY 20,Eligible for Free Lunch,2003,Number,627
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Number,1062
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Number,435
ACADEMY 20,Eligible for Free Lunch,2002,Number,509
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Number,905
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Number,396
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Percent,0.02118
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Percent,0.0484
ACADEMY 20,Eligible for Free Lunch,2002,Percent,0.02722
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Percent,0.02244
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Percent,0.04714
ACADEMY 20,Eligible for Free Lunch,2001,Percent,0.0247
ACADEMY 20,Eligible for Free Lunch,2001,Number,448
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Number,855
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Number,407
ACADEMY 20,Eligible for Free Lunch,2000,Number,369
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Number,701
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Number,332
ACADEMY 20,Eligible for Free Lunch,2000,Percent,0.02
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Percent,0.04
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Percent,0.02
BETHUNE R-5,Eligible for Free Lunch,2014,Number,61
BETHUNE R-5,Eligible for Free or Reduced Lunch,2014,Number,83
BETHUNE R-5,Eligible for Free or Reduced Lunch,2014,Percent,0.7094
BETHUNE R-5,Eligible for Reduced Price Lunch,2014,Number,22
BETHUNE R-5,Eligible for Reduced Price Lunch,2014,Percent,0.18803
BETHUNE R-5,Eligible for Free Lunch,2014,Percent,0.52137
BETHUNE R-5,Eligible for Reduced Price Lunch,2012,Percent,0.21805
BETHUNE R-5,Eligible for Free Lunch,2012,Percent,0.4812
BETHUNE R-5,Eligible for Reduced Price Lunch,2012,Number,29
BETHUNE R-5,Eligible for Free or Reduced Lunch,2012,Percent,0.69925
BETHUNE R-5,Eligible for Free Lunch,2012,Number,64
BETHUNE R-5,Eligible for Free or Reduced Lunch,2012,Number,93
BETHUNE R-5,Eligible for Reduced Price Lunch,2011,Number,20
BETHUNE R-5,Eligible for Free Lunch,2011,Number,64
BETHUNE R-5,Eligible for Reduced Price Lunch,2011,Percent,0.1504
BETHUNE R-5,Eligible for Free or Reduced Lunch,2011,Number,84
BETHUNE R-5,Eligible for Free or Reduced Lunch,2011,Percent,0.6316
BETHUNE R-5,Eligible for Free Lunch,2011,Percent,0.4812
BETHUNE R-5,Eligible for Reduced Price Lunch,2010,Percent,2
BETHUNE R-5,Eligible for Free or Reduced Lunch,2010,Percent,0.662
BETHUNE R-5,Eligible for Free Lunch,2010,Percent,0.462
BETHUNE R-5,Eligible for Free Lunch,2010,Number,60
BETHUNE R-5,Eligible for Free or Reduced Lunch,2010,Number,86
BETHUNE R-5,Eligible for Free Lunch,2009,Number,53
BETHUNE R-5,Eligible for Reduced Price Lunch,2010,Number,26
BETHUNE R-5,Eligible for Free or Reduced Lunch,2009,Number,88
BETHUNE R-5,Eligible for Reduced Price Lunch,2009,Number,35
BETHUNE R-5,Eligible for Reduced Price Lunch,2009,Percent,0.2778
BETHUNE R-5,Eligible for Free or Reduced Lunch,2009,Percent,0.6984
BETHUNE R-5,Eligible for Reduced Price Lunch,2013,Percent,0.15909
BETHUNE R-5,Eligible for Free Lunch,2009,Percent,0.4206
BETHUNE R-5,Eligible for Free or Reduced Lunch,2013,Percent,0.68939
BETHUNE R-5,Eligible for Free Lunch,2013,Percent,0.5303
BETHUNE R-5,Eligible for Free Lunch,2013,Number,70
BETHUNE R-5,Eligible for Free or Reduced Lunch,2013,Number,91
BETHUNE R-5,Eligible for Reduced Price Lunch,2013,Number,21
BETHUNE R-5,Eligible for Reduced Price Lunch,2008,Number,28
BETHUNE R-5,Eligible for Free or Reduced Lunch,2008,Number,83
BETHUNE R-5,Eligible for Free Lunch,2008,Number,55
BETHUNE R-5,Eligible for Reduced Price Lunch,2008,Percent,0.2171
BETHUNE R-5,Eligible for Free or Reduced Lunch,2008,Percent,0.6434
BETHUNE R-5,Eligible for Reduced Price Lunch,2007,Percent,0.18
BETHUNE R-5,Eligible for Free Lunch,2008,Percent,0.4264
BETHUNE R-5,Eligible for Free or Reduced Lunch,2007,Percent,0.61
BETHUNE R-5,Eligible for Free Lunch,2007,Percent,0.44
BETHUNE R-5,Eligible for Reduced Price Lunch,2007,Number,22
BETHUNE R-5,Eligible for Free or Reduced Lunch,2007,Number,76
BETHUNE R-5,Eligible for Free Lunch,2007,Number,54
BETHUNE R-5,Eligible for Free Lunch,2006,Number,57
BETHUNE R-5,Eligible for Free or Reduced Lunch,2006,Number,78
BETHUNE R-5,Eligible for Reduced Price Lunch,2006,Number,21
BETHUNE R-5,Eligible for Reduced Price Lunch,2006,Percent,0.1641
BETHUNE R-5,Eligible for Free or Reduced Lunch,2006,Percent,0.6094
BETHUNE R-5,Eligible for Free Lunch,2006,Percent,0.4453
BETHUNE R-5,Eligible for Reduced Price Lunch,2005,Percent,0.1513
BETHUNE R-5,Eligible for Free Lunch,2005,Percent,0.4538
BETHUNE R-5,Eligible for Reduced Price Lunch,2005,Number,18
BETHUNE R-5,Eligible for Free or Reduced Lunch,2005,Percent,0.605
BETHUNE R-5,Eligible for Free Lunch,2005,Number,54
BETHUNE R-5,Eligible for Free or Reduced Lunch,2005,Number,72
BETHUNE R-5,Eligible for Reduced Price Lunch,2004,Number,8
BETHUNE R-5,Eligible for Free or Reduced Lunch,2004,Number,62
BETHUNE R-5,Eligible for Free Lunch,2004,Number,54
BETHUNE R-5,Eligible for Reduced Price Lunch,2004,Percent,0.0714
BETHUNE R-5,Eligible for Free or Reduced Lunch,2004,Percent,0.5536
BETHUNE R-5,Eligible for Reduced Price Lunch,2003,Percent,0.1
BETHUNE R-5,Eligible for Free Lunch,2004,Percent,0.4821
BETHUNE R-5,Eligible for Free or Reduced Lunch,2003,Percent,0.49
BETHUNE R-5,Eligible for Free Lunch,2003,Percent,0.38
BETHUNE R-5,Eligible for Free Lunch,2003,Number,41
BETHUNE R-5,Eligible for Free or Reduced Lunch,2003,Number,52
BETHUNE R-5,Eligible for Reduced Price Lunch,2003,Number,11
BETHUNE R-5,Eligible for Free Lunch,2002,Number,44
BETHUNE R-5,Eligible for Free or Reduced Lunch,2002,Number,50
BETHUNE R-5,Eligible for Reduced Price Lunch,2002,Number,6
BETHUNE R-5,Eligible for Reduced Price Lunch,2002,Percent,0.05128
BETHUNE R-5,Eligible for Free or Reduced Lunch,2002,Percent,0.42735
BETHUNE R-5,Eligible for Free Lunch,2002,Percent,0.37607
BETHUNE R-5,Eligible for Reduced Price Lunch,2001,Percent,0.08759
BETHUNE R-5,Eligible for Free or Reduced Lunch,2001,Percent,0.46715
BETHUNE R-5,Eligible for Free Lunch,2001,Percent,0.37956
BETHUNE R-5,Eligible for Reduced Price Lunch,2000,Number,40
BETHUNE R-5,Eligible for Free Lunch,2000,Number,50
BETHUNE R-5,Eligible for Free or Reduced Lunch,2000,Number,90
BETHUNE R-5,Eligible for Free Lunch,2001,Number,52
BETHUNE R-5,Eligible for Free or Reduced Lunch,2001,Number,64
BETHUNE R-5,Eligible for Reduced Price Lunch,2001,Number,12
BETHUNE R-5,Eligible for Free or Reduced Lunch,2000,Percent,0.55
BETHUNE R-5,Eligible for Free Lunch,2000,Percent,0.3
BETHUNE R-5,Eligible for Reduced Price Lunch,2000,Percent,0.24
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2000,Percent,0.34
CANON CITY RE-1,Eligible for Free Lunch,2000,Percent,0.23
CANON CITY RE-1,Eligible for Reduced Price Lunch,2000,Percent,0.11
CANON CITY RE-1,Eligible for Reduced Price Lunch,2000,Number,461
CANON CITY RE-1,Eligible for Free Lunch,2000,Number,970
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2000,Number,1431
CANON CITY RE-1,Eligible for Reduced Price Lunch,2001,Number,479
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2001,Number,1545
CANON CITY RE-1,Eligible for Free Lunch,2001,Number,1066
CANON CITY RE-1,Eligible for Free Lunch,2001,Percent,0.24722
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2001,Percent,0.3583
CANON CITY RE-1,Eligible for Reduced Price Lunch,2001,Percent,0.11109
CANON CITY RE-1,Eligible for Free Lunch,2002,Percent,0.28019
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2002,Percent,0.37485
CANON CITY RE-1,Eligible for Reduced Price Lunch,2002,Percent,0.09466
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2002,Number,1580
CANON CITY RE-1,Eligible for Free Lunch,2002,Number,1181
CANON CITY RE-1,Eligible for Reduced Price Lunch,2003,Number,378
CANON CITY RE-1,Eligible for Free Lunch,2003,Number,1198
CANON CITY RE-1,Eligible for Reduced Price Lunch,2002,Number,399
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2003,Number,1576
CANON CITY RE-1,Eligible for Free Lunch,2003,Percent,0.29
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2003,Percent,0.38
CANON CITY RE-1,Eligible for Reduced Price Lunch,2003,Percent,0.09
CANON CITY RE-1,Eligible for Free Lunch,2004,Percent,0.2601
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2004,Percent,0.3473
CANON CITY RE-1,Eligible for Reduced Price Lunch,2004,Percent,0.0872
CANON CITY RE-1,Eligible for Free Lunch,2004,Number,1047
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2004,Number,1398
CANON CITY RE-1,Eligible for Reduced Price Lunch,2004,Number,351
CANON CITY RE-1,Eligible for Reduced Price Lunch,2005,Number,428
CANON CITY RE-1,Eligible for Free Lunch,2005,Number,1256
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2005,Number,1684
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2005,Percent,0.3975
CANON CITY RE-1,Eligible for Reduced Price Lunch,2005,Percent,0.101
CANON CITY RE-1,Eligible for Free Lunch,2005,Percent,0.2965
CANON CITY RE-1,Eligible for Free Lunch,2006,Percent,0.2932
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2006,Percent,0.3987
CANON CITY RE-1,Eligible for Reduced Price Lunch,2006,Percent,0.1055
CANON CITY RE-1,Eligible for Free Lunch,2006,Number,1137
CANON CITY RE-1,Eligible for Reduced Price Lunch,2006,Number,409
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2006,Number,1546
CANON CITY RE-1,Eligible for Free Lunch,2007,Number,1103
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2007,Number,1539
CANON CITY RE-1,Eligible for Reduced Price Lunch,2007,Number,436
CANON CITY RE-1,Eligible for Reduced Price Lunch,2007,Percent,0.11
CANON CITY RE-1,Eligible for Free Lunch,2007,Percent,0.29
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2008,Percent,0.3916
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2007,Percent,0.41
CANON CITY RE-1,Eligible for Reduced Price Lunch,2008,Percent,0.1278
CANON CITY RE-1,Eligible for Free Lunch,2008,Percent,0.2638
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2008,Number,1492
CANON CITY RE-1,Eligible for Free Lunch,2008,Number,1005
CANON CITY RE-1,Eligible for Reduced Price Lunch,2008,Number,487
CANON CITY RE-1,Eligible for Reduced Price Lunch,2013,Number,424
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2013,Number,1976
CANON CITY RE-1,Eligible for Free Lunch,2013,Number,1552
CANON CITY RE-1,Eligible for Free Lunch,2013,Percent,0.42521
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2013,Percent,0.54137
CANON CITY RE-1,Eligible for Reduced Price Lunch,2013,Percent,0.11616
CANON CITY RE-1,Eligible for Free Lunch,2009,Percent,0.345
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2009,Percent,0.4577
CANON CITY RE-1,Eligible for Reduced Price Lunch,2009,Percent,0.1127
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2009,Number,1693
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2010,Number,1905
CANON CITY RE-1,Eligible for Free Lunch,2010,Number,1440
CANON CITY RE-1,Eligible for Reduced Price Lunch,2009,Number,417
CANON CITY RE-1,Eligible for Free Lunch,2009,Number,1276
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2010,Percent,0.515
CANON CITY RE-1,Eligible for Free Lunch,2010,Percent,0.389
CANON CITY RE-1,Eligible for Reduced Price Lunch,2010,Percent,0.126
CANON CITY RE-1,Eligible for Free Lunch,2011,Percent,0.4032
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2011,Percent,0.5219
CANON CITY RE-1,Eligible for Reduced Price Lunch,2011,Percent,0.1188
CANON CITY RE-1,Eligible for Reduced Price Lunch,2010,Number,465
CANON CITY RE-1,Eligible for Free Lunch,2011,Number,1507
CANON CITY RE-1,Eligible for Reduced Price Lunch,2011,Number,444
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2011,Number,1951
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2012,Number,1919
CANON CITY RE-1,Eligible for Reduced Price Lunch,2012,Number,445
CANON CITY RE-1,Eligible for Free Lunch,2012,Number,1474
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2012,Percent,0.52982
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2014,Percent,0.56259
CANON CITY RE-1,Eligible for Free Lunch,2012,Percent,0.40696
CANON CITY RE-1,Eligible for Reduced Price Lunch,2012,Percent,0.12286
CANON CITY RE-1,Eligible for Reduced Price Lunch,2014,Percent,0.13211
CANON CITY RE-1,Eligible for Free Lunch,2014,Percent,0.43047
CANON CITY RE-1,Eligible for Free Lunch,2014,Number,1551
CANON CITY RE-1,Eligible for Reduced Price Lunch,2014,Number,476
CANON CITY RE-1,Eligible for Free or Reduced Lunch,2014,Number,2027
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2014,Number,196
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2014,Number,10
CENTENNIAL R-1,Eligible for Free Lunch,2014,Number,186
CENTENNIAL R-1,Eligible for Free Lunch,2014,Percent,0.84163
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2014,Percent,0.04525
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2012,Percent,0.13684
CENTENNIAL R-1,Eligible for Free Lunch,2012,Percent,0.7
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2014,Percent,0.88688
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2012,Percent,0.83684
CENTENNIAL R-1,Eligible for Free Lunch,2012,Number,133
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2012,Number,26
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2012,Number,159
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2011,Number,221
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2011,Number,28
CENTENNIAL R-1,Eligible for Free Lunch,2011,Number,193
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2010,Number,24
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2011,Percent,0.1129
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2011,Percent,0.8911
CENTENNIAL R-1,Eligible for Free Lunch,2011,Percent,0.7782
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2010,Percent,0.097
CENTENNIAL R-1,Eligible for Free Lunch,2010,Percent,0.698
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2010,Percent,0.794
CENTENNIAL R-1,Eligible for Free Lunch,2009,Number,154
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2009,Number,24
CENTENNIAL R-1,Eligible for Free Lunch,2010,Number,173
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2010,Number,197
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2009,Number,178
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2009,Percent,0.1091
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2009,Percent,0.8091
CENTENNIAL R-1,Eligible for Free Lunch,2009,Percent,0.7
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2013,Percent,0.08173
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2013,Percent,0.87019
CENTENNIAL R-1,Eligible for Free Lunch,2013,Percent,0.78846
CENTENNIAL R-1,Eligible for Free Lunch,2013,Number,164
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2013,Number,181
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2013,Number,17
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2008,Number,62
CENTENNIAL R-1,Eligible for Free Lunch,2008,Number,116
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2008,Number,178
CENTENNIAL R-1,Eligible for Free Lunch,2008,Percent,0.5346
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2008,Percent,0.2857
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2007,Percent,0.89
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2008,Percent,0.8203
CENTENNIAL R-1,Eligible for Free Lunch,2007,Percent,0.57
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2007,Percent,0.33
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2007,Number,71
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2007,Number,194
